date,summary_en,summary_zh,hardness,domain,result,uso_5d,gld_5d,spy_5d
2018-03-01,"Trump announces 25% steel tariff and 10% aluminum tariff on all imports, says trade wars are 'good and easy to win'",特朗普宣布对所有进口钢铁征25%关税、铝征10%关税，称贸易战好打且容易赢,9,关税/贸易,NOT_TACO,-3.2,1.4,-2.1
2018-03-22,"Trump signs memo imposing tariffs on up to $60 billion in Chinese goods, targeting tech and aerospace sectors",特朗普签备忘录对最多600亿美元中国商品加关税，重点针对科技和航空航天,9,关税/科技,NOT_TACO,-2.8,2.1,-3.4
2018-04-05,"Trump threatens additional $100 billion in tariffs on China after Beijing's retaliation, warns of further escalation",中国反制后，特朗普威胁再追加1000亿美元关税，警告将进一步升级,10,关税/贸易,TACO,-1.9,0.8,-1.2
2018-05-20,Mnuchin says US-China trade war 'on hold' after Beijing agrees to buy more US goods; Trump confirms ceasefire,中方同意购买更多美国商品后，姆努钦宣布贸易战暂停，特朗普确认停火,2,关税/贸易,TACO,2.3,-1.1,1.8
2019-05-05,"Trump tweets he will raise tariffs on $200B of Chinese goods from 10% to 25% on Friday, trade talks collapsing",特朗普发推称周五起将2000亿中国商品关税从10%提至25%，谈判濒临破裂,9,关税/贸易,NOT_TACO,-5.1,2.6,-3.0
2019-06-29,"After G20 meeting, Trump agrees to restart trade talks with Xi, no new tariffs, allows Huawei purchases to resume",G20后特朗普同意与习重启谈判，不加新关税，允许恢复对华为采购,2,关税/科技,TACO,3.1,-0.9,2.4
2019-08-01,"Trump announces 10% tariff on remaining $300B Chinese goods starting September 1, no exceptions",特朗普宣布9月1日起对剩余3000亿美元中国商品加征10%关税，无例外,9,关税/贸易,TACO,-6.2,3.4,-2.9
2019-08-26,Trump says he has second thoughts about trade war; White House clarifies he regrets not raising tariffs even higher,特朗普称对贸易战有些后悔，白宫随后澄清他后悔的是没把关税加得更高,7,关税/贸易,TACO,1.4,-0.6,1.1
2019-12-13,"Trump announces Phase 1 trade deal with China, agrees to halve tariffs from 15% to 7.5% on $120B goods",特朗普宣布与中国达成第一阶段贸易协议，同意将1200亿商品关税从15%降至7.5%,2,关税/贸易,TACO,3.8,-1.8,2.7
2020-08-03,"Trump threatens to ban TikTok within 45 days unless sold to a US company, invokes national security emergency powers",特朗普威胁45天内封禁TikTok除非出售给美国公司，援引国家安全紧急权力,8,科技/国家安全,TACO,0.4,1.2,-0.8
2025-01-20,"Trump signs executive order to impose 25% tariff on Canada and Mexico starting February 1, no negotiations",特朗普签行政令宣布2月1日起对加拿大和墨西哥加征25%关税，不谈判,9,关税/贸易,TACO,-3.6,2.2,-2.3
2025-02-03,"After calls with Trudeau and Sheinbaum, Trump pauses Canada and Mexico tariffs for 30 days to allow negotiations",与特鲁多和谢因鲍姆通话后，特朗普将加墨关税暂停30天以启动谈判,2,关税/贸易,TACO,2.9,-1.3,2.1
2025-02-10,"Trump announces 25% tariff on all steel and aluminum imports globally, says exemptions considered case by case",特朗普宣布对全球所有进口钢铁和铝征收25%关税，称豁免将逐案审查,7,关税/能源,TACO,-1.2,1.5,-1.4
2025-03-04,Trump activates full 25% tariff on Canada and Mexico; additional 10% tariff on Chinese goods takes effect simultaneously,特朗普正式激活对加墨25%全额关税，同时对中国商品额外加征10%关税同步生效,10,关税/贸易,NOT_TACO,-4.1,3.1,-2.8
2025-03-06,"Trump exempts USMCA-compliant goods from Canada and Mexico tariffs just 2 days after activation, markets rally",关税生效仅2天，特朗普豁免符合USMCA的加墨商品，市场随即反弹,2,关税/贸易,TACO,3.5,-1.6,2.2
2025-04-02,"Trump announces Liberation Day: sweeping reciprocal tariffs on 185 countries, minimum 10%, China 34%, EU 20%",特朗普宣布解放日：对185国征对等关税，最低10%，中国34%，欧盟20%,10,关税/贸易,TACO,-8.3,4.2,-5.1
2025-04-09,Trump announces 90-day pause on reciprocal tariffs for all countries except China; China tariffs raised to 125%,特朗普宣布对除中国外所有国家暂停对等关税90天，同时将中国关税提至125%,5,关税/贸易,TACO,6.7,-2.1,5.3
2025-04-14,"Trump exempts smartphones, computers and semiconductors from China tariffs, says electronics need special treatment",特朗普豁免智能手机、电脑和半导体的对华关税，称电子产品需要特殊对待,3,关税/科技,TACO,1.8,-0.7,2.9
2025-04-22,"Trump says will not fire Fed Chair Powell despite calling him a major loser, says rates should be cut immediately",特朗普称不会解雇美联储主席鲍威尔，尽管骂他是大输家，但坚持应立即降息,4,货币政策,TACO,1.1,-0.4,1.6
2025-04-23,"Trump signals willingness to reduce China tariffs significantly if deal reached, says 145% rate will come down substantially",特朗普暗示若达成协议愿大幅降低对华关税，称145%税率会大幅下降,3,关税/贸易,TACO,4.2,-1.9,3.8
