date,summary_en,summary_zh,hardness,domain,result,uso_5d,gld_5d,spy_5d,qqq_5d
2018-04-05,Trump threatens more tariffs on China,特朗普威胁对中国追加关税,8,tariff,TACO,-1.2,0.8,-1.5,-1.8
2018-07-06,US imposes tariffs on Chinese imports,美国对中国商品加征关税,9,tariff,HOLD,-2.0,1.1,-0.9,-1.3
2019-05-05,Trump threatens 25 percent tariff hike,特朗普威胁将关税提高到25%,9,tariff,TACO,-3.5,2.4,-2.8,-3.2
2019-06-29,Trump signals trade truce after G20 meeting,特朗普在G20后释放贸易缓和信号,3,tariff,TACO,1.8,-0.5,2.2,2.7
2020-01-15,US and China sign Phase One trade deal,中美签署第一阶段贸易协议,2,tariff,TACO,0.7,-0.4,1.1,1.4
2020-05-29,Trump criticizes China but avoids immediate tariffs,特朗普批评中国但没有立即加征关税,6,tariff,TACO,-0.8,1.0,-0.6,-0.9
2024-02-04,Trump proposes high tariffs on Chinese goods,特朗普提出对中国商品征收高关税,8,tariff,HOLD,-1.5,1.3,-1.0,-1.4
2025-04-02,Liberation Day reciprocal tariffs announced,特朗普宣布对等关税政策,10,tariff,HOLD,-4.0,3.2,-4.8,-5.3
2025-04-09,Trump announces 90-day tariff pause,特朗普宣布90天关税暂停,2,tariff,TACO,3.1,-1.6,4.5,5.0
2025-05-12,Trump softens tone after trade talks,贸易谈判后特朗普语气缓和,3,tariff,TACO,1.5,-0.8,2.0,2.6
